doc_id	excl_mrk_num	ques_mrk_num	poin_mrk_num	ellp_mrk_num
1	0	11	202	3
2	0	4	34	0
3	57	175	2747	86
4	4	117	2544	7
5	28	9	367	22
6	4	15	6	0
7	52	89	756	17
8	195	47	565	28
9	1	0	32	5
10	20	1	77	1
11	3	1	44	0
12	2687	1078	7333	2030
13	0	12	72	2
14	4	5	31	1
15	4	41	106	5
16	9	163	3818	7
17	0	2	67	1
18	14	41	235	9
19	81	121	509	87
20	1	0	86	0
21	2	6	21	2
22	3	0	77	1
23	9	0	109	19
24	2	0	75	5
25	8	59	703	23
26	4	22	44	2
27	0	2	30	0
28	0	1	10	0
29	2	0	48	0
30	0	0	38	0
31	7	4	15	6
32	7	11	4942	2
33	34	100	2097	1
34	3	1	21	0
35	0	12	79	0
36	55	60	336	29
37	1	7	56	0
38	26	1	61	0
39	1	9	61	13
40	4	8	332	0
41	2	5	38	3
42	1	1	105	0
43	1	0	278	0
44	0	0	134	0
45	0	1	19	2
46	1	10	58	4
47	76	9	625	22
48	2	2	32	1
49	4	1	8	0
50	7	1	218	0
51	0	0	0	0
52	7	25	139	8
53	3495	1143	11024	5188
54	19	44	725	6
55	27	6	97	0
56	10	6	97	6
57	32	52	579	6
58	3	9	74	4
59	1	3	43	0
60	0	4	119	0
61	12	5	29	2
62	3	0	274	0
63	7	1	144	2
64	10	50	805	0
65	0	7	256	1
66	204	84	419	146
67	91	41	1474	35
68	38	296	2927	0
69	31	38	152	11
70	4	4	58	0
71	0	0	138	1
72	773	612	4592	37
73	3	3	50	2
74	6	69	970	0
75	11	7	4268	18
76	2	2	73	0
77	23	1	46	2
78	0	2	5786	5
79	0	5	55	1
80	0	0	1380	0
81	22	17	4262	0
82	0	8	1131	9
83	19	3	33	0
84	3	9	168	4
85	1	8	2681	3
86	10	7	75	1
87	8	18	79	9
88	0	0	625	7
89	3	3	13	5
90	565	516	3706	9
91	1	16	120	5
92	6	2	32	2
93	5	2	62	0
94	2	1	150	1
95	1	16	66	0
96	185	119	822	2
97	30	4	315	5
98	58	6	107	2
99	73	59	467	34
100	0	0	127	0
101	2	0	151	4
102	1	16	244	0
103	1	0	16	2
104	7	47	798	0
105	0	68	124	1
106	5	12	72	7
107	0	0	66	0
108	12	32	231	7
109	10	4	79	1
110	5	0	22	0
111	8	61	1975	2
112	46	50	6151	63
113	9	17	73	14
114	0	14	69	0
115	0	0	24	0
116	4	3	24	1
117	12	36	1135	385
118	0	10	64	0
119	0	4	61	0
120	6	1	15	0
121	9	1	88	1
122	5	5	18	2
123	16	31	2181	4
124	155	331	4920	306
125	18	12	86	7
126	570	611	4859	152
127	0	0	396	6
128	2	0	102	0
129	3	4	38	2
130	5	35	1003	6
131	0	1	34	0
132	7	104	1128	26
133	3	4	7	0
134	0	1	10	0
135	1	2	13	0
136	19	1	72	1
137	0	19	732	1
138	449	1030	4073	1
139	0	1	111	0
140	2	14	112	0
141	3	1	126	2
142	0	1	826	1
143	14	5	653	2
144	24	54	401	11
145	0	0	1368	0
146	6	0	118	1
147	0	4	69	14
148	79	54	313	17
149	29	121	2195	0
150	11	32	2176	27
151	1	2	52	0
152	102	76	355	75
153	227	219	1818	637
154	39	217	83	34
155	4	4	32	0
156	1	1	183	0
157	0	0	41	6
158	7	6	55	2
159	61	368	3991	24
160	0	0	429	100
161	1	4	56	0
162	5	38	706	2
163	2	3	69	0
164	4	1	19	0
165	1	1	29	0
166	58	21	110	20
167	20	16	84	2
168	2	6	27	0
169	4	2	10	0
170	42	4	142	0
171	1	16	108	0
172	0	7	7	1
173	10	175	1125	0
174	36	82	408	7
175	5	7	291	1
176	2	1	2	0
177	0	9	125	6
178	5	33	394	1
179	5	7	271	3
180	4	17	1387	4
181	5	3	48	0
182	5	5	18	7
183	1	4	43	1
184	7	0	27	0
185	297	145	1700	111
186	1	8	54	1
187	10	5	79	1
188	4	1	100	0
189	2	13	68	2
190	13	172	877	73
191	0	0	51	0
192	0	36	196	1
193	0	6	47	2
194	38	300	7700	17
195	23	79	655	13
196	0	1	9	0
197	5	8	302	1
198	0	2	260	0
199	0	1	47	1
200	2	0	12	0
201	19	47	4343	9
202	1	5	85	0
203	3	1	53	0
204	34	214	3617	1
205	201	101	2311	5
206	8	3	46	7
207	3	20	131	2
208	0	2	58	9
209	0	2	83	4
210	1	0	75	0
211	11	1	9	0
212	1	3	11	0
213	0	0	170	0
214	15	8	121	0
215	0	4	20	2
216	944	630	9039	6
217	85	62	284	0
218	1	0	145	0
219	0	8	31	0
220	0	3	83	1
221	0	7	57	3
222	3	6	86	0
223	6	15	96	8
224	25	10	968	10
225	0	0	96	0
226	24	5	12	0
227	2	6	61	1
228	1	4	12	1
229	2	13	129	0
230	2	1	14	0
231	16	32	347	13
232	0	5	35	0
233	2	0	38	0
234	6	2	449	0
235	10	2	23	1
236	2	11	61	0
237	9	3	126	5
238	1	12	500	19
239	41	119	976	42
240	13	3	190	2
241	3	10	35	0
242	1	3	87	2
243	0	2	3	0
244	40	0	28	0
245	1	9	135	0
246	1	0	389	0
247	1	0	115	1
248	3	46	492	1
249	0	2	168	0
250	73	105	521	212
251	270	567	3125	733
252	9	1	26	3
253	208	225	1309	71
254	27	25	1084	352
255	0	2	4	0
256	13	32	127	11
